You	O	0.9865

see	V	0.8335

.	,	0.9927

He	O	0.9792

is	V	0.9892

sorry	!	0.5410

.	,	0.9927

I	O	0.9937

feel	V	0.9161

much	A	0.5576

better	A	0.6680

now	R	0.9613

.	,	0.9927


RT	~	0.7475

:	,	0.7421

Surprise	N	0.7901

,	,	0.9918

surprise	N	0.6923

:	,	0.7421

QB	N	0.5077

is	V	0.9892

Week	N	0.8703

9	$	0.9832

OPOW	!	0.5419

.	,	0.9927


This	D	0.6836

is	V	0.9892

what	O	0.9490

you	O	0.9627

call	V	0.4423

"	,	0.9803

Fair	N	0.6173

and	&	0.9981

Balanced	A	0.9777

"	,	0.9803

journalism	N	0.8975

.	,	0.9927


I'm	L	0.9907

one	$	0.7703

sarcastic	A	0.9797

bitch🙃🙃🙃🙃	!	0.3457

…	,	0.6715


Is	V	0.9893

it	O	0.9694

just	R	0.9975

me	O	0.9918

or	&	0.9822

is	V	0.9892

baseball	N	0.9460

boring	A	0.8194

?	,	0.9909


AKA	G	0.4419

Expect	V	0.9014

someone	N	0.9495

to	P	0.9511

get	V	0.9655

fired	V	0.9248

soon	R	0.7813

.	,	0.9927


Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444

…	,	0.6715


ooh	!	0.9975

got	V	0.7838

to	P	0.9511

love	N	0.6603

the	D	0.9792

blazing	V	0.8958

fast	A	0.7309

internet	N	0.8258

speeds	V	0.4724

in	P	0.8576

Australia	^	0.9862

-	,	0.8444

currently	R	0.9825

3.96	$	0.9214

Mb	!	0.4576

down	T	0.3734

.	,	0.9927

Not	R	0.9761

close	A	0.7231

to	P	0.9511

15Mb	$	0.3867

promised	V	0.8443

.	,	0.9927


Which	D	0.7260

“	,	0.9466

Stranger	N	0.9550

Things	N	0.9896

”	,	0.9566

character	N	0.9880

are	V	0.9783

you	O	0.9627

?!	,	0.9682

😮😮	!	0.2639

d2	!	0.4142


1st	A	0.5809

shorthanded	A	0.5739

goal	N	0.9228

in	P	0.8576

history	N	0.9424

.	,	0.9927

Way	N	0.5820

to	P	0.9511

keep	V	0.7901

special	A	0.8693

teams	N	0.9817

at	P	0.9712

the	D	0.9792

bottom	N	0.4143

.	,	0.9927


Soo	!	0.3389

glad	A	0.8941

to	P	0.9511

know	V	0.9285

what	O	0.9490

lily-white	^	0.5866

Carol	N	0.5381

Alt	^	0.6832

feels	V	0.9345

about	P	0.8950

discrimination	N	0.9828

against	P	0.9607

minorities	N	0.9540

.	,	0.9927

Excellent	A	0.9564

story	N	0.9885

.	,	0.9927

?	,	0.9909


RT	~	0.7475

:	,	0.7421

JAYWALKER	^	0.5323

uU	O	0.8297

http	!	0.4616

…	,	0.6715


When	R	0.9713

life	N	0.9415

is	V	0.9892

sucking	V	0.9638

u	O	0.9843

into	P	0.9699

a	D	0.8948

pit	N	0.8285

of	P	0.8953

despair	N	0.9889

and	&	0.9981

stress	N	0.8056

but	&	0.9901

u	O	0.9843

really	R	0.9938

jus	R	0.6954

ain't	V	0.8098

fighti	G	0.3213

…	,	0.6715


1st	A	0.5809

set	V	0.5168

from	P	0.9750

Pius	^	0.9589

goes	V	0.9196
